"Part";"Value";"Device";"Package";"Description";"";
"ADC_TEMP_1";"AD7998-1";"AD7998-1";"TSSOP20";"";"";
"ADC_TEMP_2";"AD7998-1";"AD7998-1";"TSSOP20";"";"";
"C1";"1uF";"C-EUC2012";"C2012";"CAPACITOR, European symbol";"";
"C2";"1uF";"C-EUC2012";"C2012";"CAPACITOR, European symbol";"";
"C3";"1uF";"C-EUC2012";"C2012";"CAPACITOR, European symbol";"";
"C4";"1uF";"C-EUC2012";"C2012";"CAPACITOR, European symbol";"";
"C5";"1uF";"C-EUC2012";"C2012";"CAPACITOR, European symbol";"";
"C6";"1uF";"C-EUC2012";"C2012";"CAPACITOR, European symbol";"";
"C7";"1uF";"C-EUC2012";"C2012";"CAPACITOR, European symbol";"";
"C8";"1uF";"C-EUC2012";"C2012";"CAPACITOR, European symbol";"";
"C9";"10uF";"C-EUC2012";"C2012";"CAPACITOR, European symbol";"";
"C10";"0.1uF";"C-EUC2012";"C2012";"CAPACITOR, European symbol";"";
"C11";"0.1uF";"C-EUC2012";"C2012";"CAPACITOR, European symbol";"";
"C12";"1uF";"C-EUC2012";"C2012";"CAPACITOR, European symbol";"";
"C13";"1uF";"C-EUC2012";"C2012";"CAPACITOR, European symbol";"";
"C14";"0.1uF";"C-EUC2012";"C2012";"CAPACITOR, European symbol";"";
"C15";"10uF";"C-EUC2012";"C2012";"CAPACITOR, European symbol";"";
"C16";"1uF";"C-EUC2012";"C2012";"CAPACITOR, European symbol";"";
"C17";"0.1uF";"C-EUC2012";"C2012";"CAPACITOR, European symbol";"";
"C18";"1uF";"C-EUC2012";"C2012";"CAPACITOR, European symbol";"";
"C19";"10uF";"C-EUC2012";"C2012";"CAPACITOR, European symbol";"";
"D1";"BB141";"BB141";"SOD523";"Capacity DIODE";"";
"H1";"ESQ-125-XX-X-D";"ESQ-125-XX-X-D";"ESQ-125-XX-X-D";"ELEVATED SOCKET, .100 inch(2.54mm) PITCH";"";
"H2";"ESQ-125-XX-X-D";"ESQ-125-XX-X-D";"ESQ-125-XX-X-D";"ELEVATED SOCKET, .100 inch(2.54mm) PITCH";"";
"R1";"220k";"R-US_R2012";"R2012";"RESISTOR, American symbol";"";
"R2";"220k";"R-US_R2012";"R2012";"RESISTOR, American symbol";"";
"R3";"220k";"R-US_R2012";"R2012";"RESISTOR, American symbol";"";
"R4";"220k";"R-US_R2012";"R2012";"RESISTOR, American symbol";"";
"R5";"220k";"R-US_R2012";"R2012";"RESISTOR, American symbol";"";
"R6";"220k";"R-US_R2012";"R2012";"RESISTOR, American symbol";"";
"R7";"220k";"R-US_R2012";"R2012";"RESISTOR, American symbol";"";
"R8";"220k";"R-US_R2012";"R2012";"RESISTOR, American symbol";"";
"R9";"220k";"R-US_R2012";"R2012";"RESISTOR, American symbol";"";
"R10";"THERMISTOR-2,5";"THERMISTOR-2,5";"RS-2,5";"THERMISTOR";"";
"R11";"100k";"R-US_R2012";"R2012";"RESISTOR, American symbol";"";
"R12";"220k";"R-US_R2012";"R2012";"RESISTOR, American symbol";"";
"R13";"220k";"R-US_R2012";"R2012";"RESISTOR, American symbol";"";
"R14";"220k";"R-US_R2012";"R2012";"RESISTOR, American symbol";"";
"R15";"220k";"R-US_R2012";"R2012";"RESISTOR, American symbol";"";
"R16";"10k";"R-US_R2012";"R2012";"RESISTOR, American symbol";"";
"R17";"10k";"R-US_R2012";"R2012";"RESISTOR, American symbol";"";
"U$1";"SMFC";"SMFC";"SFMC-107-01-XX-D";"";"";
"U$2";"M80-5000000M1-10-331-000";"M80-5000000M1-10-331-000";"M80-5000000M1";"";"";
"U$3";"M80-5000000M1-10-331-00-000";"M80-5000000M1-10-331-00-000";"M80-5000000M1-04-331-00-000";"";"";
"U$4";"ADM6316/ADM6320";"ADM6316/ADM6320";"SOT23-5";"";"";
"U$5";"";"CR1220SMT";"CR1220-SMD";"CR1216/CR1220/CR1225 12mm 3V lithium coin cell";"";
"U$6";"DS3232";"DS3232";"SO20L";"";"";
